verbatim_fr,event_fr,confidence_fr
<1960,<1960,low confidence
<1838,<1838,low confidence
<1960,<1960,low confidence
<1810,<1810,low confidence
<1997,<1997,low confidence
<1960,<1960,low confidence
<1966,<1966,low confidence
<1954,<1954,low confidence
<1971,<1971,low confidence
Middle Ages,middle ages,low confidence
<1916,<1916,low confidence
<1870,<1870,low confidence
<1895,<1895,low confidence
<1890,<1890,low confidence
<1700,<1700,low confidence
<1700,<1700,low confidence
<1960,<1960,low confidence
Neophyte,neophyte,low confidence
<1917,<1917,low confidence
<1952,<1952,low confidence
<1952,<1952,low confidence
>1906,>1906,low confidence
<1810,<1810,low confidence
<1779,<1779,low confidence
<1981,<1981,low confidence
<1997,<1997,low confidence
<1993,<1993,low confidence
<2000,<2000,low confidence
>1935,>1935,low confidence
<1971,<1971,low confidence
<1930,<1930,low confidence
<1875,<1875,low confidence
<1976,<1976,low confidence
<1974,<1974,low confidence
<1960,<1960,low confidence
pre 1900,pre 1900,low confidence
Middle Ages,middle ages,low confidence
<1989,<1989,low confidence
<1998,<1998,low confidence
Archaeophyte,archaeophyte,low confidence
<1885,<1885,low confidence
<1905,<1905,low confidence
<1885,<1885,low confidence
<1658,<1658,low confidence
<1820,<1820,low confidence
<1840,<1840,low confidence
<1885,<1885,low confidence
<1820,<1820,low confidence
<1658,<1658,low confidence
<1905,<1905,low confidence
<1905,<1905,low confidence
<1744,<1744,low confidence
<1894,<1894,low confidence
<1885,<1885,low confidence
<1810,<1810,low confidence
<1830,<1830,low confidence
<1795,<1795,low confidence
Neophyte,neophyte,low confidence
<1732,<1732,low confidence
Middle Ages,middle ages,low confidence
<1744,<1744,low confidence
<1993,<1993,low confidence
<1976,<1976,low confidence
<1976,<1976,low confidence
<1993,<1993,low confidence
<1995,<1995,low confidence
<1992,<1992,low confidence
<1952,<1952,low confidence
<1875,<1875,low confidence
>1758,>1758,low confidence
<1971,<1971,low confidence
<1996,<1996,low confidence
<1952,<1952,low confidence
<1996,<1996,low confidence
<1996,<1996,low confidence
<1952,<1952,low confidence
<1940,<1940,low confidence
<1912,<1912,low confidence
Middle Ages,middle ages,low confidence
Middle Ages,middle ages,low confidence
<2000,<2000,low confidence
Prehistoric time,prehistoric time,low confidence
<1930,<1930,low confidence
Middle Ages,middle ages,low confidence
<1895,<1895,low confidence
<1885,<1885,low confidence
<1885,<1885,low confidence
<1910,<1910,low confidence
<1935,<1935,low confidence
<1940,<1940,low confidence
<1872,<1872,low confidence
<2004,<2004,low confidence
<1880,<1880,low confidence
<1890,<1890,low confidence
<1850,<1850,low confidence
<1885,<1885,low confidence
<1935,<1935,low confidence
<1984,<1984,low confidence
<1982,<1982,low confidence
<1996,<1996,low confidence
<1976,<1976,low confidence
<1996,<1996,low confidence
<1952,<1952,low confidence
<1816,<1816,low confidence
<1993,<1993,low confidence
<1880,<1880,low confidence
<1880,<1880,low confidence
Middle Ages,middle ages,low confidence
Middle Ages,middle ages,low confidence
<1840,<1840,low confidence
<1785,<1785,low confidence
<1785,<1785,low confidence
<1967,<1967,low confidence
>1885,>1885,low confidence
Neolithic time,neolithic time,low confidence
<1658,<1658,low confidence
<1925,<1925,low confidence
>1886,>1886,low confidence
<1999,<1999,low confidence
<1927,<1927,low confidence
<1866,<1866,low confidence
